key,attempts,errors,avg_latency,last_timestamp,ttke,miss_rate,weak_score
 ,238779,3472,138.20249963526723,2025-11-20T23:53:12.000Z,51,0.01454064218377663,0.15259262175275645
!,2806,193,185.9064182194617,2025-11-18T19:23:26.000Z,0,0.06878118317890235,0.2347965303386648
"""",2660,232,219.71824104234528,2025-11-18T19:23:26.000Z,0,0.08721804511278196,0.28105661666215576
',3294,564,193.55377906976744,2025-11-18T19:19:37.000Z,0,0.17122040072859745,0.3042209322121726
",",10985,533,209.60156046814043,2025-11-18T19:23:26.000Z,0,0.0485207100591716,0.2473067925609133
-,1179,149,279.34851485148516,2025-11-18T19:16:27.000Z,0,0.1263782866836302,0.36662763256680014
.,9643,340,204.2411748483177,2025-11-18T19:23:26.000Z,0,0.03525873690760137,0.23376946918037556
0,20143,484,223.57090199479617,2025-11-18T18:58:15.000Z,0,0.02402819838157176,0.2471533129055718
1,33286,832,280.8359560250054,2025-11-18T18:58:15.000Z,161,0.024995493600913295,0.30734637689054645
2,28711,1644,315.3819594302978,2025-11-18T18:58:15.000Z,0,0.057260283515029084,0.3343561701090174
3,26059,1438,303.0869565217391,2025-11-18T18:58:15.000Z,0,0.055182470547603515,0.3331094823285621
4,24389,1006,284.46022481625596,2025-11-18T18:58:15.000Z,0,0.041248103653286315,0.32087079189913686
5,23554,1025,309.7778498810296,2025-11-18T18:58:15.000Z,0,0.04351702470917891,0.32611021482550734
6,23104,974,306.66731643924624,2025-11-18T18:58:15.000Z,0,0.04215720221606648,0.32529432132963987
7,21891,700,253.01540798611111,2025-11-18T18:58:15.000Z,0,0.03197661139280983,0.2825739709297165
8,22598,1004,255.26175514626217,2025-11-18T18:58:15.000Z,0,0.044428710505354456,0.2923836685964179
9,22589,914,253.76336869452263,2025-11-18T18:58:15.000Z,0,0.04046217185355704,0.28844393124213685
:,1503,252,134.83290707587383,2025-11-18T19:22:32.000Z,0,0.16766467065868262,0.2409593067754794
;,1315,146,148.1015625,2025-11-18T19:22:10.000Z,0,0.11102661596958174,0.22078908994848823
?,2490,204,159.5550284629981,2025-11-18T19:22:32.000Z,0,0.0819277108433735,0.21525275805996566
A,1337,125,171.50131004366813,2025-11-18T19:07:19.000Z,0,0.09349289454001496,0.23462789850600163
B,3175,269,175.63014291901257,2025-11-18T19:07:19.000Z,0,0.0847244094488189,0.23366490557475672
C,3,1,179.0,2025-04-01T13:06:27.000Z,0,0.3333333333333333,0.48633826733358265
D,1275,124,179.14650283553874,2025-11-18T19:21:30.000Z,0,0.09725490196078432,0.24484371736219712
E,1605,153,169.77571539056459,2025-11-15T18:46:57.000Z,0,0.09532710280373832,0.23393208649340097
F,799,83,171.17331288343559,2025-11-18T19:07:00.000Z,0,0.10387984981226533,0.24051862796807774
